"chemIndex","porosity","sampleNum","freq","amp","strain","stresskpa","cycleLet","cycleNum","stiffness","stiffFrac","damping","dampFrac","nonlinear","strainRate"
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"A",0,0.518967285566794,1,0.267912120354937,1,1.49115398216809,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"B",2000,0.526396025529663,1.01431446676789,-6.03270183552147,0.932044222665848,1.51816331320223,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"C",3000,0.527263674193511,1.01598634221742,-6.03487530548187,0.923613002640571,1.49595419669942,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"D",4000,0.525229621135806,1.01206691778687,-6.03640559090427,0.917682370115834,1.48746711499629,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"E",5000,0.523287375484002,1.0083243973895,-6.03739657137624,0.913844258367233,1.4889685182794,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"F",6000,0.522735520035936,1.0072610250664,-6.03818245498108,0.910801852816677,1.49045491253732,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"G",7000,0.521872619808207,1.00559829939616,-6.03885445751256,0.908201265412952,1.49101089383309,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"H",8000,0.522180271860022,1.00619111528334,-6.03938122079949,0.906163349685821,1.49540807352502,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"I",9000,0.52375594494197,1.00922728562735,-6.03987732795108,0.90424452321056,1.49366327422955,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"J",10000,0.524569434811525,1.01079480229397,-6.0403366670883,0.902468328145,1.49614786585867,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"K",15000,0.528229028022997,1.01784648611538,-6.04198720998308,0.896089257429823,1.50404309627222,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"L",20000,0.532922017997939,1.02688942601826,-6.04322143204633,0.891322582502918,1.51102680080086,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"M",25000,0.537094468327993,1.03492933613609,-6.04424128488885,0.887385992906559,1.5119452636958,0.0482576982868816
"79","71","106",0.5,0.0241288491434408,-0.291337522600233,-62.7995699256568,"N",30000,0.542649388509656,1.04563313257212,-6.04504723067905,0.884276459390823,1.51502462785704,0.0482576982868816
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"A",0,0.429337859274519,1,0.267142288767138,1,1.45652987881532,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"B",2000,0.446639874765678,1.04029930069618,-6.0396808924922,0.907741126119869,1.59898802524171,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"C",3000,0.453977928667044,1.05739086097406,-6.03011228475727,0.944950822254627,1.6345685559195,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"D",4000,0.455794745431225,1.06162253243032,-6.03114540002053,0.940924574961782,1.54351976366707,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"E",5000,0.459603165495743,1.07049298254844,-6.04065997887935,0.903943816649711,1.43155680516566,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"F",6000,0.462823658211971,1.07799405110473,-6.04246393582596,0.89695212132996,1.45302900761199,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"G",7000,0.464782769755695,1.08255715100706,-6.04320517341255,0.894081063197707,1.46235528727805,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"H",8000,0.466562563662179,1.08670259000816,-6.04251121301017,0.896768970010095,1.45617763144699,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"I",9000,0.468606765925795,1.09146388049177,-6.04355954517014,0.892708832413267,1.46186712341772,0.0492313248032135
"79","71","115",0.5,0.0246156624016067,-0.291335826712009,-59.2401757269578,"J",10000,0.472056204535934,1.09949820249628,-6.04443956834937,0.889302152802105,1.44661283357745,0.0492313248032135
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"A",0,0.564989814290718,1,0.726056672828461,1,1.55399740133656,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"B",2000,0.557155495516879,0.986133699093895,0.738217875863732,1.02476331125959,1.58000341454358,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"C",3000,0.554523806141511,0.981475757819907,0.726823244804579,1.00154505721298,1.56146220264877,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"D",4000,0.550301251119196,0.974002074373744,0.723973443758336,0.995811765413915,1.55507692763895,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"E",5000,0.549985600307405,0.973443390298727,0.707625790102066,0.963470708877144,1.56305273516107,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"F",6000,0.545978410300196,0.966350890742359,0.731956089195927,1.01194512443542,1.55249303824478,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"G",7000,0.551635146628663,0.976362993943845,0.726205461798158,1.0002997256961,1.54915193129629,0.952856868864652
"79","71","116",10,0.0238214217216163,-0.29134057453917,-62.4511562822784,"H",8000,0.550111296490215,0.973665865429483,0.721798611818369,0.99145579594951,1.53765275262723,0.952856868864652
